Harvest year,plot,section,year of wheat,Previous crop,wheat variety,Fertilizer code,Number of N splits,Fertilizer N,Fertilizer P,Fertilizer K,Fertilizer Mg,FYM,Notes,grain ,straw,hfn,hlwt,tgw,n_grain,n_straw,p_grain,p_straw,s_grain,s_straw
1985,3,1,19,Fallow,Brimstone,Nil,0,0,0,0,0,0,,1.77,0.84,,,34.2,1.43,0.42,,,,
1985,5,1,19,Fallow,Brimstone,PK Mg,0,0,35,90,12,0,,1.54,0.84,,,33.7,1.3,0.47,,,,
1985,6,1,19,Fallow,Brimstone,N1 PKMg,1,48,35,90,12,0,,4.57,3.15,,,39.7,1.25,0.49,,,,
1985,7,1,19,Fallow,Brimstone,N2 PKMg,1,96,35,90,12,0,,7.54,3.57,,,40,1.46,0.41,,,,
1985,8,1,19,Fallow,Brimstone,N3PKMg,1,144,35,90,12,0,,8.12,4.27,,,39.4,1.69,0.56,,,,
1985,9,1,19,Fallow,Brimstone,N4 PKMg,1,192,35,90,12,0,,8.21,4.78,,,38.7,1.78,0.83,,,,
1985,10,1,19,Fallow,Brimstone,N2,1,96,0,0,0,0,,3.46,2.98,,,35.8,1.74,0.55,,,,
1985,11,1,19,Fallow,Brimstone,N2 P,1,96,35,0,0,0,,5.76,2.25,,,29.2,1.67,0.58,,,,
1985,12,1,19,Fallow,Brimstone,N2 P Na,1,96,35,0,0,0,,5.65,2.31,,,31.3,1.49,0.5,,,,
1985,13,1,19,Fallow,Brimstone,N2 PK ,1,96,35,90,0,0,No Na applied in past,6.81,3.39,,,38.8,1.41,0.34,,,,
1985,14,1,19,Fallow,Brimstone,N2 PKMg*,1,96,35,90,30,0,,6.87,3.42,,,38.4,1.43,0.36,,,,
1985,15,1,19,Fallow,Brimstone,N5 PKMg,1,240,35,90,12,0,,8.34,5.41,,,36.1,1.96,0.93,,,,
1985,16,1,19,Fallow,Brimstone,N6 PKMg,1,288,35,90,12,0,,8.23,5.59,,,36.1,2.03,0.99,,,,
1985,17,1,19,Fallow,Brimstone,N0+N3 1/2[PKMg](A),1,144,18,45,6,0,,8.06,4.45,,,39.4,1.64,0.43,,,,
1985,18,1,19,Fallow,Brimstone,N1+N3 1/2[PKMg](A),2 (N1 autumn),192,18,45,6,0,1st application of N in autumn alternate years,8.1,4.6,,,38.2,1.66,0.48,,,,
1985,19,1,19,Fallow,Brimstone,C,0,96,0,0,0,0,Received castor meal to supply 96 kgN/ha 1852-1988,3.5,2.1,,,37.1,1.29,0.5,,,,
1985,20,1,19,Fallow,Brimstone,N2 KMg,1,96,0,90,12,0,,3.05,1.6,,,40.6,1.78,0.38,,,,
1985,21,1,19,Fallow,Brimstone,FYM N2,1,96,0,0,0,35,FYM since 1885,8.64,6.25,,,39.6,1.9,0.7,,,,
1985,22,1,19,Fallow,Brimstone,FYM,0,0,0,0,0,35,FYM since 1843,7.58,4.79,,,45,1.6,0.45,,,,
1986,3,1,20,Fallow,Brimstone,Nil,0,0,0,0,0,0,,1.12,0.41,,,37,1.45,0.48,0.317,0.055,,
1986,5,1,20,Fallow,Brimstone,PK Mg,0,0,35,90,12,0,,1.45,0.75,,,35.8,1.51,0.32,0.37,0.071,,
1986,6,1,20,Fallow,Brimstone,N1 PKMg,1,48,35,90,12,0,,2.7,1.78,,,40.2,1.58,0.5,0.346,0.079,,
1986,7,1,20,Fallow,Brimstone,N2 PKMg,1,96,35,90,12,0,,4.74,2.2,,,42.3,1.98,0.46,0.336,0.052,,
1986,8,1,20,Fallow,Brimstone,N3PKMg,1,144,35,90,12,0,,5.2,2.35,,,41.6,2.19,0.54,0.335,0.048,,
1986,9,1,20,Fallow,Brimstone,N4 PKMg,1,192,35,90,12,0,,4.37,2.09,,,41.5,2.43,0.57,0.307,0.043,,
1986,10,1,20,Fallow,Brimstone,N2,1,96,0,0,0,0,,0.41,0.27,,,36.9,2.04,0.84,0.262,0.052,,
1986,11,1,20,Fallow,Brimstone,N2 P,1,96,35,0,0,0,,4.09,1.52,,,30.3,1.78,0.5,0.31,0.055,,
1986,12,1,20,Fallow,Brimstone,N2 P Na,1,96,35,0,0,0,,4.23,1.79,,,30.3,1.8,0.55,0.296,0.056,,
1986,13,1,20,Fallow,Brimstone,N2 PK ,1,96,35,90,0,0,,5.1,2.36,,,38.4,2.03,0.41,0.339,0.042,,
1986,14,1,20,Fallow,Brimstone,N2 PKMg*,1,96,35,90,30,0,,5.02,2.15,,,39.3,1.84,0.39,0.349,0.04,,
1986,15,1,20,Fallow,Brimstone,N5 PKMg,1,240,35,90,12,0,,5.37,2.56,,,41.4,2.48,0.57,0.321,0.045,,
1986,16,1,20,Fallow,Brimstone,N6 PKMg,1,288,35,90,12,0,,4.86,2.22,,,42.7,2.51,0.61,0.337,0.042,,
1986,17,1,20,Fallow,Brimstone,N1+N3 1/2[PKMg](A),2 (N1 autumn),192,18,45,6,0,1st application of N in autumn alternate years,5.09,2.13,,,41.5,2.38,0.56,0.308,0.04,,
1986,18,1,20,Fallow,Brimstone,N0+N3 1/2[PKMg](A),1,144,18,45,6,0,,4.32,1.71,,,41.7,2.25,0.52,0.309,0.042,,
1986,19,1,20,Fallow,Brimstone,C,0,96,0,0,0,0,,2.29,1.36,,,38.4,1.77,0.53,0.384,0.087,,
1986,20,1,20,Fallow,Brimstone,N2 KMg,1,96,0,90,12,0,,0.68,0.13,,,36.5,1.93,0.85,0.31,0.052,,
1986,21,1,20,Fallow,Brimstone,FYM N2,1,96,0,0,0,35,,6.15,3.67,,,39.7,2.04,0.5,0.361,0.067,,
1986,22,1,20,Fallow,Brimstone,FYM,0,0,0,0,0,35,,4.68,3.03,,,38.5,1.71,0.49,0.369,0.108,,
1987,3,1,21,Fallow,Brimstone,Nil,0,0,0,0,0,0,,1.47,,,,33.3,1.48,0.43,0.353,0.067,,
